"Date","Open","High","Low","Close","Volume","Adj.Close"
"2017-05-08",14.29,14.65,14.22,14.59,11728800,14.59
"2017-05-05",14.1,14.34,13.65,14.29,21832300,14.29
"2017-05-04",14.65,14.67,13.97,14.17,18820500,14.17
"2017-05-03",14.56,14.95,14.52,14.85,12224200,14.85
"2017-05-02",14.84,14.95,14.47,14.64,10587700,14.64
"2017-05-01",14.87,14.95,14.74,14.82,7808700,14.82
"2017-04-28",14.99,15.17,14.82,14.87,12739500,14.87
"2017-04-27",15.1,15.18,14.63,14.88,21589200,14.88
"2017-04-26",15.49,15.86,15.31,15.31,14736500,15.31
"2017-04-25",15.17,15.63,15.05,15.61,10868400,15.61
"2017-04-24",15.31,15.36,14.99,15.15,12686800,15.15
"2017-04-21",15.02,15.24,14.89,15.16,13773300,15.16
"2017-04-20",15.16,15.3,15.04,15.09,10303500,15.09
"2017-04-19",15.76,15.82,14.96,15.06,13506400,15.06
"2017-04-18",15.83,16.049999,15.51,15.74,13881900,15.74
"2017-04-17",15.91,16.110001,15.7,16.02,11249800,16.02
"2017-04-13",16.35,16.4,15.82,15.91,15215000,15.91
"2017-04-12",16.639999,16.9,16.290001,16.41,16310100,16.41
"2017-04-11",16.559999,16.610001,16.27,16.6,9609900,16.6
"2017-04-10",16.379999,16.68,16.35,16.559999,11323700,16.559999
"2017-04-07",16.309999,16.469999,16.25,16.26,12391700,16.26
"2017-04-06",16.139999,16.459999,16.01,16.309999,12208100,16.309999
"2017-04-05",16.309999,16.639999,15.95,15.98,19610200,15.98
"2017-04-04",15.81,16.15,15.65,16.139999,9112200,16.139999
"2017-04-03",15.81,15.9,15.54,15.82,8407300,15.82
"2017-03-31",15.8,16,15.56,15.8,9786600,15.8
"2017-03-30",16.049999,16.18,15.78,15.85,13245900,15.85
"2017-03-29",15.21,15.98,15.18,15.85,15741900,15.85
"2017-03-28",14.76,15.27,14.72,15.23,12950700,15.23
"2017-03-27",14.41,14.78,14.3,14.75,9619100,14.75
"2017-03-24",14.73,14.95,14.55,14.61,11669100,14.61
"2017-03-23",14.96,15.02,14.66,14.68,14286600,14.68
"2017-03-22",14.95,15.13,14.81,15.02,10026400,15.02
