"Date","Open","High","Low","Close","Volume","Adj.Close"
"2013-01-02",34.919998,35.400002,34.099998,34.389999,17293100,29.27179
"2013-01-07",34.150002,35.450001,33.330002,33.849998,16282000,29.155157
"2013-01-14",34.009998,37.32,33.709999,37.32,14680900,32.143883
"2013-01-22",36.98,38.52,35.93,37.599998,11763200,32.385048
"2013-01-28",37.650002,37.869999,36.25,37.18,9413700,32.023304
"2013-02-04",36.639999,37.73,35.799999,36.25,8620500,31.222288
"2013-02-11",36.130001,37.810001,35.009998,37.580002,7846400,32.367825
"2013-02-19",37.540001,39.130001,37.110001,38.459999,7035100,33.125771
"2013-02-25",38.540001,38.610001,36.400002,37.810001,8123400,32.565926
"2013-03-04",37.529999,38.57,37.16,37.34,5223500,32.16111
"2013-03-11",37.25,38.540001,36.860001,38.5,7383300,33.160225
"2013-03-18",38.049999,39.189999,37.84,38.970001,5083900,33.565037
"2013-03-25",39.119999,40.799999,38.93,40.779999,6213100,35.123997
"2013-04-01",39.959999,41.779999,39.959999,41.310001,10030000,35.58049
"2013-04-08",41.27,43.77,41.07,43.09,8725200,37.4571
"2013-04-15",42.869999,43.029999,41.130001,42.389999,6139700,36.848606
"2013-04-22",43,46.32,42.880001,45.84,7756800,39.84761
"2013-04-29",45.830002,46.23,43.830002,44.68,6702400,38.839249
"2013-05-06",44.950001,45.049999,43.25,45.009998,4861400,39.126106
"2013-05-13",44.790001,47.34,44.09,47.169998,5210200,41.003742
"2013-05-20",47.119999,48,45.310001,45.439999,4253600,39.499897
"2013-05-28",45.889999,46.040001,42.68,42.689999,6812800,37.109386
"2013-06-03",42.880001,44.470001,42.650002,44,5246200,38.248142
"2013-06-10",44.330002,44.330002,40.099998,43.209999,4439000,37.561413
"2013-06-17",43.400002,43.830002,40.91,42.619999,5613300,37.048538
"2013-06-24",42.07,43.98,41.32,41.34,6276000,35.935867
"2013-07-01",41.400002,42.830002,41.07,42.720001,3528800,37.135468
"2013-07-08",42.900002,45.110001,42.82,45.049999,4123800,39.520897
"2013-07-15",44.950001,44.970001,43.700001,44.52,3597400,39.055946
"2013-07-22",44.299999,45.119999,43.349998,44.790001,3802600,39.292809
"2013-07-29",44.720001,45.91,44.200001,45.32,4161900,39.757759
"2013-08-05",45.049999,45.369999,44.220001,44.709999,3483300,39.222626
"2013-08-12",44.709999,45.23,42.419998,43,4013000,37.7225
"2013-08-19",43.009998,43.810001,42.25,43.43,3412900,38.099724
"2013-08-26",43.43,43.740002,42.259998,42.610001,3387100,37.380363
"2013-09-03",43,44.349998,42.310001,43.889999,3366000,38.503265
"2013-09-09",43.880001,44.970001,43.5,44.889999,3176500,39.380535
"2013-09-16",45.32,48.419998,45.189999,47.84,6667300,41.968475
"2013-09-23",47.560001,47.560001,44.02,44.330002,5313000,38.889267
"2013-09-30",44.52,46.880001,44.029999,46.799999,5039400,41.056114
"2013-10-07",46.119999,46.98,44.32,45.650002,4772200,40.407963
"2013-10-14",45.209999,48.950001,45.07,48.330002,5553100,42.780216
"2013-10-21",48.080002,49.830002,47.740002,49.299999,5563100,43.638828
"2013-10-28",49.130001,50.200001,48.439999,48.959999,4604000,43.337868
"2013-11-04",49.189999,49.189999,46.830002,48.029999,4426900,42.51466
"2013-11-11",48.23,48.75,47.279999,48.439999,4209600,42.877583
"2013-11-18",48.889999,49.959999,47.830002,48.939999,5205300,43.320164
"2013-11-25",49,49.279999,48.07,48.450001,3883600,42.886433
"2013-12-02",48.490002,51.5,48.02,51.349998,6369200,45.453423
"2013-12-09",51.450001,54.130001,50.720001,52.369999,9076900,46.356297
"2013-12-16",53.419998,54.779999,52.02,52.59,9664800,46.551033
"2013-12-23",52.73,53.060001,52.240002,52.549999,2865000,46.515625
"2013-12-30",52.73,53.060001,51.52,52.299999,3820400,46.294334
"2014-01-06",52.700001,52.700001,49.869999,50.900002,8176000,45.055099
"2014-01-13",50.66,50.880001,49.630001,50.060001,6394700,44.66254
"2014-01-21",50.259998,50.919998,47.77,47.790001,7618200,42.637291
"2014-01-27",47.790001,50.549999,46.419998,49.23,10237900,43.922031
"2014-02-03",49.400002,49.490002,46.950001,48.889999,7769000,43.61869
"2014-02-10",48.75,50.93,48.720001,50.73,6144800,45.2603
"2014-02-18",50.639999,52.110001,50.560001,51.040001,5537300,45.536877
"2014-02-24",51.009998,51.959999,49.93,50.91,5795400,45.420895
"2014-03-03",50.34,52.77,49.790001,51.459999,6131300,45.911594
"2014-03-10",51.900002,52.139999,50.799999,51.209999,4189300,45.688549
"2014-03-17",51.470001,54.73,51.259998,53.459999,6969900,47.695953
"2014-03-24",53.529999,53.619999,50.889999,50.98,6191900,45.483345
"2014-03-31",51.34,54.439999,50.950001,52.200001,5785100,46.571808
"2014-04-07",51.68,52.310001,45.5,46.459999,9610900,41.821651
"2014-04-14",47.099998,48.84,46.209999,48.549999,7542400,43.702995
"2014-04-21",48.5,50.98,48.400002,49.139999,6310800,44.234093
"2014-04-28",49.549999,52.169998,49.5,51.18,5717000,46.070431
"2014-05-05",50.990002,53.09,50.310001,52.259998,4412100,47.042606
"2014-05-12",52.360001,53.07,51.919998,52.93,5088000,47.645718
"2014-05-19",52.84,54.380001,52.709999,53.950001,4525900,48.563889
"2014-05-27",54.200001,54.610001,53.75,54.330002,3679700,48.905952
"2014-06-02",54.43,55.400002,53.669998,55.099998,3679600,49.599075
"2014-06-09",54.419998,54.880001,52.290001,54.16,5690700,48.752922
"2014-06-16",54.18,55.619999,53.16,53.299999,5708600,47.978779
"2014-06-23",53.759998,56.900002,53.400002,56.790001,8202200,51.120354
"2014-06-30",56.509998,58.27,56.099998,58.220001,5781700,52.407593
"2014-07-07",57.91,58.150002,54.279999,54.959999,9337900,49.848324
"2014-07-14",53.889999,55.119999,51.82,54.91,26413100,49.802975
"2014-07-21",54.139999,54.810001,53.029999,53.18,15092800,48.233875
"2014-07-28",53.419998,54,51.75,52.48,13278100,47.59898
"2014-08-04",52.580002,53.400002,51.369999,52.82,14331100,47.90736
"2014-08-11",53,54.59,52.57,53.900002,9139500,48.886913
"2014-08-18",54.389999,55.310001,53.84,55.200001,8303900,50.066002
"2014-08-25",55.380001,55.939999,55.18,55.279999,8537600,50.138561
"2014-09-02",55.43,55.939999,54.830002,55.939999,8712600,50.737175
"2014-09-08",55.779999,58.77,55.369999,57.880001,11673600,52.496742
"2014-09-15",57.75,60.02,57.459999,59.060001,11420300,53.566994
"2014-09-22",59.23,59.5,56.599998,59.189999,14991900,53.684902
"2014-09-29",58.139999,58.830002,56.139999,58.689999,8943600,53.231407
"2014-10-06",58.59,58.990002,54.950001,54.970001,10244100,50.229332
"2014-10-13",54.880001,55.900002,52.060001,53.369999,49414100,48.767315
"2014-10-20",52.560001,60.41,52.25,60.290001,15329100,55.09053
"2014-10-27",60.349998,63.990002,59.360001,63.459999,12523300,57.987144
"2014-11-03",63.66,63.900002,61.310001,61.5,7322500,56.196178
"2014-11-10",61.990002,64.790001,61.869999,64,5823200,58.480576
"2014-11-17",64.080002,67.360001,64.029999,67.360001,6680300,61.550808
"2014-11-24",67.400002,69.480003,67.150002,69.199997,5570200,63.232121
"2014-12-01",69.080002,70.169998,68.290001,69.709999,5843900,63.698139
"2014-12-08",69.809998,70.760002,65.010002,65.269997,7919000,59.641045
"2014-12-15",65.75,68.620003,64.800003,67.709999,8304300,61.870621
"2014-12-22",68.040001,68.25,64.019997,66.980003,8465800,61.203579
"2014-12-29",66.580002,67.370003,65.349998,65.889999,4611200,60.207581
"2015-01-05",65.5,68.290001,63.700001,65.779999,7700600,60.107067
"2015-01-12",66.339996,66.93,61.860001,64.540001,8752700,59.41674
"2015-01-20",65.059998,65.290001,61.880001,62.43,8216900,57.474236
"2015-01-26",62.259998,63.560001,60.119999,60.349998,9538300,55.559345
"2015-02-02",61.490002,61.759998,56.150002,56.900002,17263800,52.383213
"2015-02-09",55.669998,58.099998,55.18,58.049999,15872900,53.441921
"2015-02-17",58.950001,61.34,57.900002,61.299999,11942700,56.433933
"2015-02-23",61.540001,61.900002,60.209999,60.5,9088900,55.697441
"2015-03-02",60.5,60.75,55.439999,55.639999,18402500,51.223232
"2015-03-09",55.93,58.91,54.779999,58,15131700,53.395893
"2015-03-16",58.459999,61.73,58.330002,60.400002,12479000,55.605377
"2015-03-23",60.049999,61.189999,57.220001,57.650002,9039900,53.073677
"2015-03-30",57.93,58.810001,56.330002,57.009998,10446400,52.484478
"2015-04-06",56.810001,62.330002,56.68,62,12424000,57.078369
"2015-04-13",61.810001,62.91,60.509998,62.290001,11145500,57.820972
"2015-04-20",62.91,66.370003,62.73,66.07,13675100,61.329773
"2015-04-27",66.019997,66.660004,63.880001,64.32,12252000,59.70533
"2015-05-04",64.32,65.800003,63.400002,65.239998,8157000,60.559322
"2015-05-11",65.190002,66.519997,64.589996,65.989998,7016000,61.255512
"2015-05-18",65.790001,66.199997,64.870003,65.480003,10016700,60.782108
"2015-05-26",65.720001,67.989998,65.660004,66.589996,21038900,61.812462
"2015-06-01",66.800003,67.870003,66.260002,67.400002,12112000,62.564354
"2015-06-08",67.860001,68.669998,66.589996,67.050003,8312100,62.239468
"2015-06-15",66.660004,69.75,66.099998,69.480003,7732900,64.495125
"2015-06-22",69.849998,70.75,69.029999,70.459999,8802700,65.404808
"2015-06-29",69.269997,70.019997,66.660004,68.209999,9364300,63.316238
"2015-07-06",67.529999,69.5,67.32,69.230003,8652700,64.263062
"2015-07-13",69.419998,70.519997,69.169998,69.989998,8376300,65.450684
"2015-07-20",70,71.599998,67.349998,68.080002,7899000,63.664566
"2015-07-27",68.459999,71.510002,68.459999,70.010002,8546900,65.469391
"2015-08-03",70.190002,70.790001,67.769997,68.620003,7552000,64.16954
"2015-08-10",68.919998,69.440002,67.239998,68.650002,7409900,64.197594
"2015-08-17",68.709999,69.82,65.830002,65.900002,11230900,61.625954
"2015-08-24",61.169998,65.120003,53.869999,63.98,14951500,59.830475
"2015-08-31",64.139999,64.309998,58.959999,59.77,12277500,55.89352
"2015-09-08",60.220001,61.52,58.889999,59.349998,9093000,55.500759
"2015-09-14",59.43,61.830002,57.540001,61.220001,13370600,57.249481
"2015-09-21",61.240002,61.740002,55.080002,55.740002,10471200,52.124897
"2015-09-28",55.389999,55.849998,51.880001,55.82,11211900,52.199703
"2015-10-05",56.389999,56.950001,53.91,55.639999,8662600,52.03138
"2015-10-12",55.799999,56.970001,53.57,56.529999,7966900,53.351543
"2015-10-19",56.290001,56.700001,45.450001,50.34,19446800,47.509583
"2015-10-26",50.169998,60.73,49.349998,59.549999,14048000,56.20174
"2015-11-02",61.599998,64.300003,61.439999,64.129997,10720800,60.524223
"2015-11-09",63.619999,64.129997,58.889999,59.860001,7789800,56.494312
"2015-11-16",59.740002,61.73,59.560001,61.110001,6780400,57.67403
"2015-11-23",61.310001,61.650002,59.610001,60,4725600,56.626438
"2015-11-30",59.959999,60.209999,55.529999,57.18,9612600,53.964996
"2015-12-07",57.900002,57.990002,53.849998,54.040001,7422400,51.001549
"2015-12-14",53.709999,57.93,53.240002,55.740002,8869500,52.605965
"2015-12-21",56,58.73,55.700001,58.459999,5437500,55.173027
"2015-12-28",58.27,60.119999,57.759998,59.240002,5474800,55.909172
"2016-01-04",58.060001,58.32,55.48,55.650002,8743700,52.521023
"2016-01-11",55.860001,57.41,50.709999,57.34,14221800,54.684383
"2016-01-19",57.529999,59.43,53.700001,58.830002,12029600,56.105377
"2016-01-25",59.029999,59.810001,53.419998,54.900002,10894100,52.357388
"2016-02-01",54.16,57.310001,52.509998,53.119999,11932300,50.659824
"2016-02-08",52.580002,54.689999,51.599998,52.580002,8971000,50.144836
"2016-02-16",53.439999,55.529999,52.73,54.290001,8351500,51.775639
"2016-02-22",54.290001,56.790001,53.740002,56,7403900,53.406441
"2016-02-29",55.869999,56.700001,54.240002,56.150002,7655900,53.549496
"2016-03-07",55.700001,57.869999,54.830002,57.73,6722600,55.05632
"2016-03-14",57.669998,57.73,54.41,56.57,7202800,53.950043
"2016-03-21",56.52,57.540001,55.669998,56.119999,6172400,53.520885
"2016-03-28",56.349998,57.57,55.220001,57.419998,4295400,54.760677
"2016-04-04",57.639999,59.900002,57.490002,58.470001,6957500,55.762051
"2016-04-11",58.59,60.049999,58.25,59.509998,5801400,57.299221
"2016-04-18",59.5,61.990002,59.299999,61.419998,5435200,59.138268
