"Date","Open","High","Low","Close","Volume","Adj.Close"
"2007-05-14",38.009998,40.150002,37.650002,39.669998,2399700,32.240589
"2007-05-21",39.490002,40.82,38.540001,40.720001,1963300,33.093948
"2007-05-29",40.650002,41.41,40,41.259998,2137200,33.532814
"2007-06-04",41.75,41.84,39.209999,39.700001,2181100,32.264973
"2007-06-11",39.57,40.419998,38.560001,40,3450000,32.508789
"2007-06-18",40.189999,42.700001,40.189999,42.630001,8293200,34.64624
"2007-06-25",42.639999,44.029999,42.130001,42.889999,5770500,34.857548
"2007-07-02",42.619999,43.060001,41.52,43,3660700,34.946949
"2007-07-09",42.450001,42.950001,41.299999,42.310001,3491400,34.386173
"2007-07-16",42.150002,43.360001,41.310001,43.310001,3180500,35.198891
"2007-07-23",43.040001,44,39.779999,41.709999,3343400,33.898537
"2007-07-30",41.700001,42.740002,40.439999,41,3310200,33.321507
"2007-08-06",41.34,42.849998,38.880001,39.189999,2691000,31.850485
"2007-08-13",39.360001,41.150002,37.25,38.799999,2943100,31.533524
"2007-08-20",38.900002,41.200001,38.82,40.049999,2379300,32.549423
"2007-08-27",39.939999,42,39.540001,41.209999,2116500,33.49218
"2007-09-04",41.25,41.540001,38.77,40.02,2403200,32.525043
"2007-09-10",40.150002,40.32,39.07,39.66,2339900,32.232464
"2007-09-17",39.689999,39.84,37.25,39.700001,3968800,32.264973
"2007-09-24",39.52,40.84,37.799999,40.25,5617500,32.711967
"2007-10-01",40.25,40.970001,39.369999,39.52,3251500,32.118683
"2007-10-08",39.509998,42.32,39.139999,42.209999,3741800,34.666363
"2007-10-15",41.41,41.830002,39.209999,39.27,4100200,32.251793
"2007-10-22",38.91,39.950001,37.900002,39.200001,3173400,32.194302
"2007-10-29",39.110001,39.57,37.32,38.400002,3630800,31.537277
"2007-11-05",38.450001,38.450001,33.290001,34.860001,6372900,28.629934
"2007-11-12",35.119999,37.200001,34.560001,36.790001,4506300,30.21501
"2007-11-19",37.02,37.02,34.060001,35.16,3680400,28.876318
"2007-11-26",35.299999,35.630001,33.029999,34.560001,4050200,28.383549
"2007-12-03",34.5,35.619999,33.66,35.439999,3022300,29.106276
"2007-12-10",35.799999,36.900002,33.150002,34,3549600,27.92363
"2007-12-17",33.790001,38.259998,33.450001,38,5453900,31.208763
"2007-12-24",38,38.439999,36.759998,36.880001,1692800,30.288925
"2007-12-31",36.459999,37.16,34.560001,34.91,3545300,28.670998
"2008-01-07",35.139999,35.32,32.68,32.790001,4189200,26.929878
"2008-01-14",33.5,34.509998,32.849998,33.77,4886900,27.734735
"2008-01-22",32.110001,34.419998,31.91,33.860001,4587000,27.808651
"2008-01-28",33.860001,35.48,33.119999,35.040001,3451800,28.777765
"2008-02-04",35.220001,35.220001,32.73,33.950001,4551100,27.882566
"2008-02-11",34.209999,35.959999,33.439999,34.560001,3705900,28.383549
"2008-02-19",35.240002,35.830002,33.419998,34.029999,3201000,27.948267
"2008-02-25",34.860001,37.389999,34.049999,35.25,3628500,28.950233
"2008-03-03",35.130001,35.349998,33.470001,33.75,2658200,27.718309
"2008-03-10",34,34.380001,32.880001,33.349998,2265200,27.389793
"2008-03-17",33.139999,35.150002,32.419998,34.610001,2692800,28.424612
"2008-03-24",35.169998,36.970001,33.98,35.32,4651200,29.007723
